risk_id,category,risk_description,probability,impact,risk_score,mitigation_strategy,contingency_plan,owner,status
R-001,Technical,DKT model training data insufficient for accurate predictions,0.4,4,1.6,Collect 6+ months of interaction data before launch; start with BKT-only fallback,Deploy rule-based heuristic system with manual teacher override,ML Lead,Active
R-002,Compliance,COPPA/FERPA audit findings delay pilot launch,0.3,5,1.5,Engage third-party compliance auditor 3 months pre-pilot; implement privacy-by-design,Delay pilot to non-COPPA grades (6-12) while resolving K-5 issues,Compliance Officer,Active
R-003,Technical,Neo4j learning graph performance degradation at scale (>100K students),0.35,4,1.4,Implement read replicas and caching layer; load test at 2x projected scale,Fallback to materialized path queries with denormalized prerequisite tables,Platform Architect,Active
R-004,Adoption,Teacher resistance to AI-driven recommendations undermines efficacy,0.45,3,1.35,Mandatory human-in-the-loop design; teacher override always available; PD program,Pivot to teacher-assigned paths with AI suggestions rather than autonomous delivery,Product Lead,Active
R-005,Educational,Measured learning gains fail to reach statistical significance vs. control,0.3,4,1.2,Power analysis for RCT; minimum 200 students per arm; 12-week intervention,Extend pilot duration; adjust outcome measures; publish null results transparently,Research Lead,Active
R-006,Technical,Real-time inference latency exceeds 200ms SLA during peak load,0.25,3,0.75,GPU auto-scaling; model quantization; edge caching of knowledge states,Graceful degradation to cached recommendations with async model updates,Infrastructure Lead,Active
R-007,Security,Student PII data breach or unauthorized access incident,0.15,5,0.75,Field-level encryption; zero-trust architecture; SOC 2 Type II prep; penetration testing,Activate incident response plan; breach notification within 72 hours; regulatory reporting,Security Lead,Active
R-008,Integration,LTI 1.3/LMS integration failures block deployment at target schools,0.3,3,0.9,Early partnership with 2-3 LMS vendors; Clever rostering as fallback,Manual CSV rostering with automated sync once integration resolved,Integrations Lead,Active
R-009,Content,Insufficient standards-aligned content coverage for pilot grades,0.35,2,0.7,Partner with established content providers; teacher authoring tools,Reduce pilot scope to subjects with complete content coverage,Content Lead,Active
R-010,Operational,"Key personnel departure (ML engineer, platform architect)",0.25,4,1.0,Documentation requirements; pair programming; bus factor >1 for critical roles,Engage contractor/consultant with domain expertise; prioritize knowledge transfer,Engineering Manager,Active
