evidence_id,task_id,subtask_id,tool,evidence_kind,tool_call_id,source_url,query,quality,created_at,snippet,context_text,facets,artifact_sha256,artifact_size_bytes,artifact_workspace_relpath
EV-ART-7D7E28EA93,cowork-76b6d66e,inspect-workspace-state,list_directory,artifact,list_directory:0,,.,1.0,2026-03-13T16:23:27.565817,list_directory:.,list_directory mutated .,"{""artifact_path"": "".""}",,0,.
EV-ED8EFA88BB,cowork-76b6d66e,research-learning-science-foundations,document_write,artifact,document_write:8,,learning-science-report.md,0.6,2026-03-13T16:26:10.536729,"Created learning-science-report.md (8 sections, ~2112 words)","learning-science-report.md {""path"": ""learning-science-report.md"", ""title"": ""Learning Science Foundations: Evidence-Based Analysis for Adaptive K-12 Educational Platforms"", ""metadata"": {""author"": ""Educational Technology Research Team"", ""date"": ""2026-03-13"", ""version"": ""1.0"", ""classification"": ""Research Report""}, ""sections"": [{""heading"": ""Executive Summary"", ""body"": ""This report synthesizes peer-reviewed research on learning science foundations relevant to adaptive K-12 educational platforms. Key findings reveal:\n\n1. **Learning Styles Taxonomies (VARK, Multiple Intelligences)**: Lack credible empirical support for the \""meshing hypothesis\""—the claim that instruction matched to preferred learning modality improves outcomes. Evidence rating: **WEAK to NONE** for instructional matching.\n\n2. **Cognitive Load Theory**: Robust empirical foundation with strong support for instructional design principles. Evidence rating: **STRONG**.\n\n3. **Spaced Repetition & Retrieval Practice**: Consistent positive effects on long-term retention across domains. Evidence rating: **STRONG** (effect sizes 0.5–1.0).\n\n4. **Adaptive Personalization Algorithms**: Bayesian Knowledge Tracing (BKT) and Deep Knowledge Tracing (DKT) demonstrate measurable improvements in learning outcomes. Evidence rating: **MODERATE to STRONG**.\n\n**Recommendation**: Platform design should prioritize evidence-based strategies (cognitive load management, spaced retrieval, mastery-based progression) over learning styles-based personalization.""}, {""heading"": ""Learning Type Taxonomies: Evidence Analysis"", ""body"": ""## 1.1 VARK Learning Styles Model\n\n**Description**: Proposes four sensory modalities—Visual, Auditory, Read/Write, Kinesthetic—developed by Neil Fleming (1980s).\n\n**Evidence Assessment**:\n- **Prevalence**: Found in 58.1% of medical education studies; widely adopted in educational practice (Duran Pincay, 2024)\n- **Empirical Support**: Multiple studies find **no significant correlation** between VARK preferences and learning outcomes (Indriyani & Nurmasitah, 2025: ρ = 0.018, p = 0.916)\n- **Key Finding**: Students with multimodal preferences may show greater flexibility, but unimodal-matched instruction shows no advantage (Sule et al., 2021)\n\n**Verdict**: Evidence for instructional matching is **WEAK/NONE**. Preferences exist, but matching instruction to preferences does not improve outcomes.\n\n## 1.2 Gardner's Multiple Intelligences (MI) Theory\n\n**Description**: Proposes eight distinct intelligences (linguistic, logical-mathematical, spatial, musical, bodily-kinesthetic, interpersonal, intrapersonal, naturalistic).\n\n**Evidence Assessment**:\n- **Influence**: Highly influential in educational philosophy; cited in 105+ studies (Davis et al., 2011)\n- **Empirical Support**: Limited psychometric validation for instructional applications; classified as a \""neuromyth\"" by some researchers (Rousseau, 2021)\n- **Key Limitation**: No evidence that teaching to \""dominant intelligences\"" improves learning outcomes\n\n**Verdict**: Evidence for instructional application is **WEAK**.\n\n## 1.3 Learning Styles vs. Learning Modalities\n\n**Critical Distinction**:\n- **Learning Modalities**: Observable sensory preferences (how students *prefer* to receive information)\n- **Learning Styles**: Hypothesized cognitive processing differences affecting optimal instruction\n\n**Pashler et al. (2008) Criteria for Validity**:\n1. Students grouped by learning style\n2. Random assignment to instructional methods\n3. Crossover interaction: Style A students learn better with Method A; Style B with Method B\n\n**Finding**: \""Virtually no evidence\"" for the meshing hypothesis exists in peer-reviewed literature (Pashler et al., 2008; 1,327 citations).""}, {""heading"": ""Cognitive Load Theory"", ""body"": ""## 2.1 Theoretical Foundation\n\nCognitive Load Theory (CLT), developed by John Sweller, is grounded in human cognitive architecture:\n- **Working Memory**: Limited capacity (7±2 items) and duration\n- **Long-Term Memory**: Unlimited capacity; knowledge stored as schemata\n- **Element Interactivity**: Complexity determined by how many elements must be processed simultaneously\n\n## 2.2 Types of Cognitive Load\n\n| Type | Description | Instructional Goal |\n|------|-------------|-------------------|\n| **Intrinsic** | Complexity inherent to the material | Adjust to learner expertise |\n| **Extraneous** | Unnecessary processing demands | **Minimize** |\n| **Germane** | Processing that builds schemata | **Maximize** |\n\n## 2.3 Evidence-Based Instructional Principles\n\n**Split-Attention Effect**: Integrating related information sources reduces extraneous load (Zhu, 2022).\n\n**Worked Example Effect**: Studying worked examples is superior to problem-solving for novices (Kalyuga, 2007).\n\n**Modality Effect**: Presenting information across visual/auditory channels reduces working memory load (Sweller, 2016).\n\n**Element Interactivity**: High-complexity topics (e.g., thermodynamics) require careful sequencing to avoid overload (Kala & Ayas, 2023).\n\n**Evidence Rating**: **STRONG**—Multiple RCTs and meta-analyses support CLT principles across STEM and language learning domains.""}, {""heading"": ""Spaced Repetition and Retrieval Practice"", ""body"": ""## 3.1 Spacing Effect\n\n**Definition**: Distributed practice over time produces superior retention compared to massed practice.\n\n**Mechanism**: Spacing promotes discriminative contrast between similar concepts (Kang & Pashler, 2011; 173 citations).\n\n**Evidence in K-12**:\n- YeckehZaare et al. (2019): Spaced, interleaved retrieval practice tool showed significant gains in computing education\n- Cao & Carvalho (2025): Adaptive spaced retrieval in Algebra I using SM2 algorithm improved accuracy from pretest to posttest\n- Kryukova et al. (2024): ELS students using spaced repetition showed significant vocabulary/grammar gains vs. control\n\n## 3.2 Retrieval Practice Effect\n\n**Definition**: Active recall of information strengthens memory more than passive review.\n\n**Mechanism**: Desirable difficulty—retrieval effort enhances consolidation.\n\n**Implementation**:\n- Low-stakes quizzing\n- Free recall, fill-in-blank, multiple-choice formats\n- Self-explanation and elaborative interrogation\n\n**Effect Sizes**:\n- General retention: **d = 0.5–0.8** (Agarwal et al., 2017)\n- Mathematics education: Moderate to large effects (Cao & Carvalho, 2025)\n\n## 3.3 Adaptive Spacing Algorithms\n\n**Leitner System**: Fixed-interval flashcard review (1970s).\n\n**SuperMemo-2 (SM2)**: Interval adjustment based on performance; used successfully in classroom studies (Cao & Carvalho, 2025).\n\n**Deep Learning Approaches**: LSTM-based models (Pokrywka et al., 2023) predict optimal review timing with increasing accuracy.\n\n**Evidence Rating**: **STRONG**—Spacing and retrieval are among the most robust findings in cognitive psychology.""}, {""heading"": ""Adaptive Learning Algorithms: Efficacy and Evidence"", ""body"": ""## 4.1 Bayesian Knowledge Tracing (BKT)\n\n**Model**: Hidden Markov Model tracking knowledge state (learned vs. unlearned) across skills.\n\n**Parameters**:\n- P(L₀): Initial knowledge probability\n- P(T): Transition probability (learning)\n- P(G): Guess probability\n- P(S): Slip probability\n\n**Evidence**:\n- Ben David et al. (2016): BKT successfully sequences content in classrooms\n- MacHardy & Pardos (2015): Evaluates educational video effectiveness\n- Shimada & Okada (2023): Reliability coefficient established for model validation\n\n**Effectiveness**: BKT achieves AUC ~0.75 for predicting student performance (Mai et al., 2025).\n\n## 4.2 Deep Knowledge Tracing (DKT)\n\n**Model**: Recurrent Neural Network (LSTM) tracking knowledge state from sequence of interactions.\n\n**Advantages over BKT**:\n- Captures relationships between skills automatically\n- Handles variable-length sequences\n- Models forgetting and knowledge transfer\n\n**Evidence**:\n- Piech et al. (2015): Original DKT paper—significant improvement over BKT\n- Chen et al. (2018): Prerequisite-driven DKT incorporates domain knowledge\n- Hong et al. (2025): DKT learns causal prerequisite relationships\n\n**","{""artifact_path"": ""learning-science-report.md"", ""title"": ""Learning Science Foundations: Evidence-Based Analysis for Adaptive K-12 Educational Platforms""}",3c95d607a09e05b649054672a12faa2e78537ddb32f2088b20d1815cfba905d4,16248,learning-science-report.md
EV-51F79E6172,cowork-76b6d66e,research-learning-science-foundations,spreadsheet,artifact,spreadsheet:9,,learning-taxonomy-evidence.csv,0.6,2026-03-13T16:26:34.995195,Created learning-taxonomy-evidence.csv with 8 columns and 10 rows.,"learning-taxonomy-evidence.csv {""operation"": ""create"", ""path"": ""learning-taxonomy-evidence.csv"", ""headers"": [""Taxonomy/Theory"", ""Developer"", ""Year"", ""Core Claims"", ""Evidence Rating"", ""Effect Size (if applicable)"", ""Key Studies"", ""Platform Recommendation""], ""rows"": [[""VARK Learning Styles"", ""Neil Fleming"", ""1980s"", ""Students learn better when instruction matches preferred sensory modality (Visual, Auditory, Read/Write, Kinesthetic)"", ""WEAK/NONE"", ""N/A - No credible validation exists"", ""Pashler et al. (2008) - 1,327 citations; Indriyani & Nurmasitah (2025) - no significant correlation (ρ=0.018, p=0.916); Sule et al. (2021) - no significant performance difference across VARK styles"", ""DO NOT USE for personalization decisions. Preferences exist but matching instruction to preference does not improve outcomes.""], [""Multiple Intelligences Theory"", ""Howard Gardner"", ""1983"", ""Intelligence is plural; teaching to 'dominant intelligences' improves outcomes"", ""WEAK"", ""N/A"", ""Davis et al. (2011); Rousseau (2021) - classified as neuromyth; limited psychometric validation"", ""DO NOT USE for instructional design. Educational philosophy value only.""], [""Learning Styles (General)"", ""Various"", ""1970s-2000s"", ""Individual differences in optimal instructional methods exist and can be assessed"", ""NONE"", ""N/A"", ""Pashler et al. (2008) - 'virtually no evidence' for meshing hypothesis; Kirschner (2017) - myth propagation warning"", ""DO NOT USE. No adequate evidence base for educational practice.""], [""Cognitive Load Theory"", ""John Sweller"", ""1980s-present"", ""Instructional design should manage working memory limits; reduce extraneous load, optimize germane load"", ""STRONG"", ""Various by principle - typically d=0.4-0.8"", ""Sweller (2016) - 57 citations; Kala & Ayas (2023) - effective learning with high element interactivity; Chen & Kalyuga (2020) - spacing and CLT integration"", ""ESSENTIAL FOUNDATION. Apply split-attention, modality, worked example, and element interactivity principles universally.""], [""Spaced Repetition / Spacing Effect"", ""Ebbinghaus (origin) / Modern researchers"", ""1885 / 2000s-present"", ""Distributed practice over time improves long-term retention more than massed practice"", ""STRONG"", ""d=0.5-0.8 for retention"", ""Kang & Pashler (2011) - 173 citations; YeckehZaare et al. (2019) - motivating spaced tool; Cao & Carvalho (2025) - adaptive spaced retrieval in Algebra I"", ""IMPLEMENT. Use SM2 algorithm or LSTM-based models for optimal interval scheduling.""], [""Retrieval Practice"", ""Cognitive psychology researchers"", ""2000s-present"", ""Active recall strengthens memory more than passive review"", ""STRONG"", ""d=0.5-0.8"", ""Agarwal et al. (2017) meta-analysis; Gao et al. (2025) - explanation strategies review; Balaganesan & Sethuraman (2024) - preventing knowledge loss"", ""IMPLEMENT. Build in low-stakes quizzing and self-explanation prompts.""], [""Bayesian Knowledge Tracing (BKT)"", ""Corbett & Anderson"", ""1995"", ""Hidden Markov Model tracks knowledge state (learned/unlearned) for skills"", ""MODERATE"", ""AUC ~0.75 for performance prediction"", ""Ben David et al. (2016) - classroom sequencing; MacHardy & Pardos (2015) - video evaluation; Shimada & Okada (2023) - reliability coefficient"", ""RECOMMENDED. Transparent, interpretable. Use for skill mastery tracking and at-risk identification.""], [""Deep Knowledge Tracing (DKT)"", ""Piech et al."", ""2015"", ""LSTM/RNN predicts student performance from interaction sequences"", ""MODERATE to STRONG"", ""AUC 0.85-0.89 (modern variants)"", ""Chen et al. (2018) - prerequisite-driven DKT (120 citations); Minn et al. (2018) - dynamic classification (115 citations); Mai et al. (2025) - transformer-Bayesian hybrid (0.847 AUC)"", ""RECOMMENDED. Superior predictive accuracy but less interpretable than BKT. Use for adaptive difficulty and personalized pathways.""], [""Mastery Learning"", ""Benjamin Bloom"", ""1968"", ""Students must achieve criterion (80-90%) before progressing"", ""STRONG"", ""d=0.8-1.2 (original); d=1.2 with adaptive quizzes"", ""Bloom (1968) - 1-sigma improvement; Sutiawan et al. (2025) - Cohen's d=1.2 for backpropagation; Dhanil et al. (2024) - meta-analysis g=0.78"", ""ESSENTIAL. Implement criterion-referenced progression with remediation loops.""], [""Adaptive Content Recommendations"", ""EdTech researchers"", ""2010s-present"", ""Personalized content selection improves engagement and learning outcomes"", ""MODERATE"", ""14-60% usage increase"", ""Agrawal et al. (2022) - RCT: 60% content consumption increase, 14% overall usage increase; heavier users benefit more"", ""RECOMMENDED. Implement with caveats—benefits skew toward heavy users with niche preferences.""]]} Created learning-taxonomy-evidence.csv with 8 columns and 10 rows.","{""artifact_path"": ""learning-taxonomy-evidence.csv"", ""operation"": ""create""}",,0,learning-taxonomy-evidence.csv
EV-ART-5DAF0018A5,cowork-76b6d66e,research-learning-science-foundations,document_write,artifact,document_write:8,,learning-science-report.md,1.0,2026-03-13T16:26:10.536729,document_write:learning-science-report.md,document_write mutated learning-science-report.md,"{""artifact_path"": ""learning-science-report.md""}",ab73f7d993711e28b5944bbc13ca36dc8b5f3401b0ebf62667a8db2392f77ef2,16395,learning-science-report.md
EV-ART-040395882D,cowork-76b6d66e,research-learning-science-foundations,spreadsheet,artifact,spreadsheet:9,,learning-taxonomy-evidence.csv,1.0,2026-03-13T16:26:34.995195,spreadsheet:learning-taxonomy-evidence.csv,spreadsheet mutated learning-taxonomy-evidence.csv,"{""artifact_path"": ""learning-taxonomy-evidence.csv""}",a86a98b0ea349f7cdaf085082ca4cc9fb318d92ca61315fcb42f22c1923452c5,4238,learning-taxonomy-evidence.csv
EV-ART-E29B8DF1E9,cowork-76b6d66e,research-learning-science-foundations,list_directory,artifact,list_directory:10,,.,1.0,2026-03-13T16:26:39.558977,list_directory:.,list_directory mutated .,"{""artifact_path"": "".""}",,0,.
EV-0136DDA60C,cowork-76b6d66e,research-regulatory-compliance,web_search,discovery,web_search:0,https://mrccedtech.com/edtech-compliance-checklist-ferpa-coppa-and-student-data-privacy/,COPPA compliance requirements EdTech K-12 student data collection verifiable parental consent 2024,0.95,2026-03-13T16:24:05.040281,"1. EdTech Compliance Checklist: FERPA, COPPA & Student Data Privacy for K-12 https://mrccedtech.com/edtech-compliance-checklist-ferpa-coppa-and-student-data-privacy/ 2. Verifiable Parental Consent and the Children&#x27;s Online Privacy Rule https://www.ftc.gov/business-guidance/p...","COPPA compliance requirements EdTech K-12 student data collection verifiable parental consent 2024 https://mrccedtech.com/edtech-compliance-checklist-ferpa-coppa-and-student-data-privacy/ {""query"": ""COPPA compliance requirements EdTech K-12 student data collection verifiable parental consent 2024"", ""max_results"": 10} 1. EdTech Compliance Checklist: FERPA, COPPA & Student Data Privacy for K-12 https://mrccedtech.com/edtech-compliance-checklist-ferpa-coppa-and-student-data-privacy/ 2. Verifiable Parental Consent and the Children&#x27;s Online Privacy Rule https://www.ftc.gov/business-guidance/p...","{""max_results"": ""10""}",,0,
EV-461CFB7993,cowork-76b6d66e,research-regulatory-compliance,web_search,discovery,web_search:1,https://studentprivacy.ed.gov/sites/default/files/resource_document/file/Vendor%20FAQ.pdf,FERPA compliance EdTech third-party service providers student education records requirements,0.95,2026-03-13T16:24:06.088647,1. PDF Responsibilities of Third-Party Service Providers under FERPA - ed https://studentprivacy.ed.gov/sites/default/files/resource_document/file/Vendor%20FAQ.pdf 2. NSDPA - Guides & Toolkits: Best Practices for Vendors https://nsdpa.org/guides-toolkits-best-practices-vendors 3....,"FERPA compliance EdTech third-party service providers student education records requirements https://studentprivacy.ed.gov/sites/default/files/resource_document/file/Vendor%20FAQ.pdf {""query"": ""FERPA compliance EdTech third-party service providers student education records requirements"", ""max_results"": 10} 1. PDF Responsibilities of Third-Party Service Providers under FERPA - ed https://studentprivacy.ed.gov/sites/default/files/resource_document/file/Vendor%20FAQ.pdf 2. NSDPA - Guides & Toolkits: Best Practices for Vendors https://nsdpa.org/guides-toolkits-best-practices-vendors 3....","{""max_results"": ""10""}",,0,
EV-38333E778E,cowork-76b6d66e,research-regulatory-compliance,web_search,discovery,web_search:2,https://www.mitrmedia.com/resources/blogs/demystifying-legal-wcag-compliance-for-k-12-schools/,WCAG 2.1 AA Section 508 accessibility requirements educational technology K-12,0.95,2026-03-13T16:24:07.683838,1. WCAG Compliance for K-12 Schools: Legal Guide Explained https://www.mitrmedia.com/resources/blogs/demystifying-legal-wcag-compliance-for-k-12-schools/ 2. Public School ADA Title 2 Website Compliance Requirements https://www.accessibility.works/blog/k-as-public-school-digital-w...,"WCAG 2.1 AA Section 508 accessibility requirements educational technology K-12 https://www.mitrmedia.com/resources/blogs/demystifying-legal-wcag-compliance-for-k-12-schools/ {""query"": ""WCAG 2.1 AA Section 508 accessibility requirements educational technology K-12"", ""max_results"": 10} 1. WCAG Compliance for K-12 Schools: Legal Guide Explained https://www.mitrmedia.com/resources/blogs/demystifying-legal-wcag-compliance-for-k-12-schools/ 2. Public School ADA Title 2 Website Compliance Requirements https://www.accessibility.works/blog/k-as-public-school-digital-w...","{""max_results"": ""10""}",,0,
EV-165F073647,cowork-76b6d66e,research-regulatory-compliance,web_search,discovery,web_search:3,,state student privacy laws EdTech SOPIPA Colorado California multi-state compliance,0.5,2026-03-13T16:24:08.371148,No results found.,"state student privacy laws EdTech SOPIPA Colorado California multi-state compliance {""query"": ""state student privacy laws EdTech SOPIPA Colorado California multi-state compliance"", ""max_results"": 10} No results found.","{""max_results"": ""10""}",,0,
