evidence_id,task_id,subtask_id,tool,evidence_kind,tool_call_id,source_url,query,quality,created_at,snippet,context_text,facets,artifact_sha256,artifact_size_bytes,artifact_workspace_relpath
EV-5DC754979E,cowork-6d7d0f7d,inspect-workspace-structure,document_write,artifact,document_write:20,,system-inventory.md,0.5,2026-03-14T10:49:09.934251,"Created system-inventory.md (17 sections, ~1498 words)","system-inventory.md {""path"": ""system-inventory.md"", ""title"": ""System Inventory: Adaptive Educational Platform"", ""sections"": [{""heading"": ""Overview"", ""body"": ""This document catalogs all documentation, specifications, schemas, and configuration files for the Adaptive Educational Platform project. The workspace contains two primary directories:\n\n- `planning/adaptive-ed-platform-dev-handoff/` - Development handoff package (organized by numbered sections)\n- `planning/adaptive-ed-platform-research/` - Research artifacts and supporting documentation\n\n**Total Files Cataloged:** 58 files across both directories\n**Primary Document Count:** 45+ documentation/specification files (exceeds 20+ requirement)""}, {""heading"": ""Directory Structure"", ""body"": ""```\nrevised-spec/\n├── platform-root/ # Previous iteration artifacts (10 files)\n│\n├── planning/\n│ ├── adaptive-ed-platform-dev-handoff/ # Development handoff package\n│ │ ├── 01-executive-summary/\n│ │ ├── 02-architecture-overview/\n│ │ ├── 03-platform-specs/\n│ │ ├── 04-ux-specs/\n│ │ ├── 05-security/\n│ │ ├── 06-implementation/\n│ │ ├── 07-devops/\n│ │ ├── 08-appendices/\n│ │ └── README.md\n│ │\n│ └── adaptive-ed-platform-research/ # Research & analysis artifacts\n│ ├── .loom_artifacts/\n│ └── [24 research documents]\n```""}, {""heading"": ""Category: Executive Summary (01)"", ""body"": ""| File | Type | Path | Category |\n|------|------|------|----------|\n| README.md | Markdown | `01-executive-summary/README.md` | Overview |\n| developer-quickstart.md | Markdown | `01-executive-summary/developer-quickstart.md` | Onboarding |\n\n**Relationships:** Entry point for developers; references architecture docs and platform specs.""}, {""heading"": ""Category: Architecture Overview (02)"", ""body"": ""| File | Type | Path | Category |\n|------|------|------|----------|\n| conceptual-architecture.md | Markdown | `02-architecture-overview/conceptual-architecture.md` | Architecture |\n| component-specs.md | Markdown | `02-architecture-overview/component-specs.md` | Specifications |\n\n**Relationships:** Component specs reference conceptual architecture; both inform platform specifications.""}, {""heading"": ""Category: Platform Specifications (03)"", ""body"": ""| File | Type | Path | Category |\n|------|------|------|----------|\n| personalization-engine-spec.md | Markdown | `03-platform-specs/personalization-engine-spec.md` | **CORE ADAPTIVITY** |\n| content-architecture-spec.md | Markdown | `03-platform-specs/content-architecture-spec.md` | **CORE ADAPTIVITY** |\n| api-contract-outline.md | Markdown | `03-platform-specs/api-contract-outline.md` | API Design |\n| content-metadata-schema.csv | CSV | `03-platform-specs/content-metadata-schema.csv` | Data Schema |\n| database-schema.sql | SQL | `03-platform-specs/database-schema.sql` | Data Schema |\n| api-contract/openapi.yaml | YAML | `03-platform-specs/api-contract/openapi.yaml` | API Spec |\n| ml-model-configs/model-specification.yaml | YAML | `03-platform-specs/ml-model-configs/model-specification.yaml` | ML Configuration |\n\n**Key Files for Adaptive Vision:**\n- `personalization-engine-spec.md` - Critical for learner profiling and personalization logic\n- `content-architecture-spec.md` - Defines content generation and delivery mechanisms\n- `model-specification.yaml` - ML model configurations for adaptive algorithms\n- `content-metadata-schema.csv` - Content tagging for adaptive routing\n\n**Relationships:** These form the core technical specification for the adaptive learning system.""}, {""heading"": ""Category: UX Specifications (04)"", ""body"": ""| File | Type | Path | Category |\n|------|------|------|----------|\n| user-flows.md | Markdown | `04-ux-specs/user-flows.md` | User Experience |\n| ux-design-spec.md | Markdown | `04-ux-specs/ux-design-spec.md` | Design Specs |\n| wireframes/ | Directory | `04-ux-specs/wireframes/` | UI Assets (empty) |\n\n**Relationships:** User flows define assessment touchpoints; design spec references personalization engine.""}, {""heading"": ""Category: Security (05)"", ""body"": ""| File | Type | Path | Category |\n|------|------|------|----------|\n| security-architecture.md | Markdown | `05-security/security-architecture.md` | Security |\n| threat-model.md | Markdown | `05-security/threat-model.md` | Security |\n\n**Relationships:** Security architecture must protect learner data models and assessment records.""}, {""heading"": ""Category: Implementation (06)"", ""body"": ""| File | Type | Path | Category |\n|------|------|------|----------|\n| roadmap.md | Markdown | `06-implementation/roadmap.md` | Planning |\n| requirements-backlog.csv | CSV | `06-implementation/requirements-backlog.csv` | Requirements |\n\n**Relationships:** Roadmap references platform specs; requirements map to adaptive features.""}, {""heading"": ""Category: DevOps (07)"", ""body"": ""| File | Type | Path | Category |\n|------|------|------|----------|\n| docker-compose.yml | YAML | `07-devops/docker-compose.yml` | Infrastructure |\n| ci-cd-config.yml | YAML | `07-devops/ci-cd-config.yml` | CI/CD |\n| iac/ | Directory | `07-devops/iac/` | IaC (empty) |\n| monitoring/ | Directory | `07-devops/monitoring/` | Observability (empty) |\n\n**Relationships:** Infrastructure configuration for deploying adaptive services.""}, {""heading"": ""Category: Appendices (08)"", ""body"": ""| File | Type | Path | Category |\n|------|------|------|----------|\n| user-personas.md | Markdown | `08-appendices/user-personas.md` | User Research |\n| research/learning-science-report.md | Markdown | `08-appendices/research/learning-science-report.md` | Research |\n| research/standards-alignment-requirements.csv | CSV | `08-appendices/research/standards-alignment-requirements.csv` | Compliance |\n\n**Relationships:** Learning science report informs personalization algorithms; personas define learner types.""}, {""heading"": ""Research Directory Files"", ""body"": ""| File | Type | Path | Category |\n|------|------|------|----------|\n| personalization-engine-spec.md | Markdown | `research/personalization-engine-spec.md` | **CORE ADAPTIVITY** |\n| content-architecture-spec.md | Markdown | `research/content-architecture-spec.md` | **CORE ADAPTIVITY** |\n| ux-design-spec.md | Markdown | `research/ux-design-spec.md` | UX |\n| user-flows.md | Markdown | `research/user-flows.md` | UX |\n| user-personas.md | Markdown | `research/user-personas.md` | User Research |\n| learning-science-report.md | Markdown | `research/learning-science-report.md` | Research |\n| conceptual-architecture.md | Markdown | `research/conceptual-architecture.md` | Architecture |\n| api-contract-outline.md | Markdown | `research/api-contract-outline.md` | API |\n| implementation-roadmap.md | Markdown | `research/implementation-roadmap.md` | Planning |\n| competitive-analysis-report.md | Markdown | `research/competitive-analysis-report.md` | Research |\n| regulatory-compliance-report.md | Markdown | `research/regulatory-compliance-report.md` | Compliance |\n| security-architecture.md | Markdown | `research/security-architecture.md` | Security |\n| technical-specification.md | Markdown | `research/technical-specification.md` | Specifications |\n| success-metrics-framework.md | Markdown | `research/success-metrics-framework.md` | Metrics |\n| content-metadata-schema.csv | CSV | `research/content-metadata-schema.csv` | Data Schema |\n| competitive-feature-matrix.csv | CSV | `research/competitive-feature-matrix.csv` | Research |\n| algorithm-comparison-matrix.csv | CSV | `research/algorithm-comparison-matrix.csv` | Research |\n| requirements-backlog.csv | CSV | `research/requirements-backlog.csv` | Requirements |\n| learning-taxonomy-evidence.csv | CSV | `research/learning-taxonomy-evidence.csv` | Research |\n| standards-alignment-requirements.csv | CSV | `research/standards-alignment-requirements.csv` | Compliance |\n| risk-assessment-matrix.csv | CSV | `research/risk-assessment-matrix.csv` | Risk |\n| evidence-ledger.csv | CSV | `research/evidence-ledger.csv` | Tracking |\n| validity-scorecard.json | JSON | `research/validity-scorecard.json` | Quality |\n| .loom_artifacts/manifest.jsonl | JSONL | `research/.loom_artifacts/...` | Artifacts |\n| .loom_artifacts/af_0835","{""artifact_path"": ""system-inventory.md"", ""title"": ""System Inventory: Adaptive Educational Platform""}",d979a29eed5d9a24e38607e9ca03acf54eb6f620ab90565f30b86dc043086fbf,4660,system-inventory.md
EV-ART-CA516ED206,cowork-6d7d0f7d,inspect-workspace-structure,list_directory,artifact,list_directory:0,,.,1.0,2026-03-14T10:47:40.706690,list_directory:.,list_directory mutated .,"{""artifact_path"": "".""}",,0,.
EV-ART-5625B534E4,cowork-6d7d0f7d,inspect-workspace-structure,list_directory,artifact,list_directory:1,,planning,1.0,2026-03-14T10:47:40.714666,list_directory:planning,list_directory mutated planning,"{""artifact_path"": ""planning""}",,0,planning
EV-ART-9B3556F2A5,cowork-6d7d0f7d,inspect-workspace-structure,list_directory,artifact,list_directory:2,,planning/adaptive-ed-platform-dev-handoff/01-executive-summary,1.0,2026-03-14T10:47:57.017177,list_directory:planning/adaptive-ed-platform-dev-handoff/01-executive-summary,list_directory mutated planning/adaptive-ed-platform-dev-handoff/01-executive-summary,"{""artifact_path"": ""planning/adaptive-ed-platform-dev-handoff/01-executive-summary""}",,0,planning/adaptive-ed-platform-dev-handoff/01-executive-summary
EV-ART-9F14AC863B,cowork-6d7d0f7d,inspect-workspace-structure,list_directory,artifact,list_directory:3,,planning/adaptive-ed-platform-dev-handoff/02-architecture-overview,1.0,2026-03-14T10:47:57.025010,list_directory:planning/adaptive-ed-platform-dev-handoff/02-architecture-overview,list_directory mutated planning/adaptive-ed-platform-dev-handoff/02-architecture-overview,"{""artifact_path"": ""planning/adaptive-ed-platform-dev-handoff/02-architecture-overview""}",,0,planning/adaptive-ed-platform-dev-handoff/02-architecture-overview
EV-ART-32E47B31C7,cowork-6d7d0f7d,inspect-workspace-structure,list_directory,artifact,list_directory:4,,planning/adaptive-ed-platform-dev-handoff/03-platform-specs,1.0,2026-03-14T10:47:57.031773,list_directory:planning/adaptive-ed-platform-dev-handoff/03-platform-specs,list_directory mutated planning/adaptive-ed-platform-dev-handoff/03-platform-specs,"{""artifact_path"": ""planning/adaptive-ed-platform-dev-handoff/03-platform-specs""}",,0,planning/adaptive-ed-platform-dev-handoff/03-platform-specs
EV-ART-BDBA3DF677,cowork-6d7d0f7d,inspect-workspace-structure,list_directory,artifact,list_directory:5,,planning/adaptive-ed-platform-dev-handoff/04-ux-specs,1.0,2026-03-14T10:47:57.038301,list_directory:planning/adaptive-ed-platform-dev-handoff/04-ux-specs,list_directory mutated planning/adaptive-ed-platform-dev-handoff/04-ux-specs,"{""artifact_path"": ""planning/adaptive-ed-platform-dev-handoff/04-ux-specs""}",,0,planning/adaptive-ed-platform-dev-handoff/04-ux-specs
EV-ART-E5F20D22A5,cowork-6d7d0f7d,inspect-workspace-structure,list_directory,artifact,list_directory:6,,planning/adaptive-ed-platform-dev-handoff/05-security,1.0,2026-03-14T10:47:57.044293,list_directory:planning/adaptive-ed-platform-dev-handoff/05-security,list_directory mutated planning/adaptive-ed-platform-dev-handoff/05-security,"{""artifact_path"": ""planning/adaptive-ed-platform-dev-handoff/05-security""}",,0,planning/adaptive-ed-platform-dev-handoff/05-security
EV-ART-CEAE3196CD,cowork-6d7d0f7d,inspect-workspace-structure,list_directory,artifact,list_directory:7,,planning/adaptive-ed-platform-dev-handoff/06-implementation,1.0,2026-03-14T10:47:57.070192,list_directory:planning/adaptive-ed-platform-dev-handoff/06-implementation,list_directory mutated planning/adaptive-ed-platform-dev-handoff/06-implementation,"{""artifact_path"": ""planning/adaptive-ed-platform-dev-handoff/06-implementation""}",,0,planning/adaptive-ed-platform-dev-handoff/06-implementation
EV-ART-0C665BA6DC,cowork-6d7d0f7d,inspect-workspace-structure,list_directory,artifact,list_directory:8,,planning/adaptive-ed-platform-dev-handoff/07-devops,1.0,2026-03-14T10:47:57.076605,list_directory:planning/adaptive-ed-platform-dev-handoff/07-devops,list_directory mutated planning/adaptive-ed-platform-dev-handoff/07-devops,"{""artifact_path"": ""planning/adaptive-ed-platform-dev-handoff/07-devops""}",,0,planning/adaptive-ed-platform-dev-handoff/07-devops
