Taxonomy/Theory,Developer,Year,Core Claims,Evidence Rating,Effect Size (if applicable),Key Studies,Platform Recommendation
VARK Learning Styles,Neil Fleming,1980s,"Students learn better when instruction matches preferred sensory modality (Visual, Auditory, Read/Write, Kinesthetic)",WEAK/NONE,N/A - No credible validation exists,"Pashler et al. (2008) - 1,327 citations; Indriyani & Nurmasitah (2025) - no significant correlation (ρ=0.018, p=0.916); Sule et al. (2021) - no significant performance difference across VARK styles",DO NOT USE for personalization decisions. Preferences exist but matching instruction to preference does not improve outcomes.
Multiple Intelligences Theory,Howard Gardner,1983,Intelligence is plural; teaching to 'dominant intelligences' improves outcomes,WEAK,N/A,Davis et al. (2011); Rousseau (2021) - classified as neuromyth; limited psychometric validation,DO NOT USE for instructional design. Educational philosophy value only.
Learning Styles (General),Various,1970s-2000s,Individual differences in optimal instructional methods exist and can be assessed,NONE,N/A,Pashler et al. (2008) - 'virtually no evidence' for meshing hypothesis; Kirschner (2017) - myth propagation warning,DO NOT USE. No adequate evidence base for educational practice.
Cognitive Load Theory,John Sweller,1980s-present,"Instructional design should manage working memory limits; reduce extraneous load, optimize germane load",STRONG,Various by principle - typically d=0.4-0.8,Sweller (2016) - 57 citations; Kala & Ayas (2023) - effective learning with high element interactivity; Chen & Kalyuga (2020) - spacing and CLT integration,"ESSENTIAL FOUNDATION. Apply split-attention, modality, worked example, and element interactivity principles universally."
Spaced Repetition / Spacing Effect,Ebbinghaus (origin) / Modern researchers,1885 / 2000s-present,Distributed practice over time improves long-term retention more than massed practice,STRONG,d=0.5-0.8 for retention,Kang & Pashler (2011) - 173 citations; YeckehZaare et al. (2019) - motivating spaced tool; Cao & Carvalho (2025) - adaptive spaced retrieval in Algebra I,IMPLEMENT. Use SM2 algorithm or LSTM-based models for optimal interval scheduling.
Retrieval Practice,Cognitive psychology researchers,2000s-present,Active recall strengthens memory more than passive review,STRONG,d=0.5-0.8,Agarwal et al. (2017) meta-analysis; Gao et al. (2025) - explanation strategies review; Balaganesan & Sethuraman (2024) - preventing knowledge loss,IMPLEMENT. Build in low-stakes quizzing and self-explanation prompts.
Bayesian Knowledge Tracing (BKT),Corbett & Anderson,1995,Hidden Markov Model tracks knowledge state (learned/unlearned) for skills,MODERATE,AUC ~0.75 for performance prediction,Ben David et al. (2016) - classroom sequencing; MacHardy & Pardos (2015) - video evaluation; Shimada & Okada (2023) - reliability coefficient,"RECOMMENDED. Transparent, interpretable. Use for skill mastery tracking and at-risk identification."
Deep Knowledge Tracing (DKT),Piech et al.,2015,LSTM/RNN predicts student performance from interaction sequences,MODERATE to STRONG,AUC 0.85-0.89 (modern variants),Chen et al. (2018) - prerequisite-driven DKT (120 citations); Minn et al. (2018) - dynamic classification (115 citations); Mai et al. (2025) - transformer-Bayesian hybrid (0.847 AUC),RECOMMENDED. Superior predictive accuracy but less interpretable than BKT. Use for adaptive difficulty and personalized pathways.
Mastery Learning,Benjamin Bloom,1968,Students must achieve criterion (80-90%) before progressing,STRONG,d=0.8-1.2 (original); d=1.2 with adaptive quizzes,Bloom (1968) - 1-sigma improvement; Sutiawan et al. (2025) - Cohen's d=1.2 for backpropagation; Dhanil et al. (2024) - meta-analysis g=0.78,ESSENTIAL. Implement criterion-referenced progression with remediation loops.
Adaptive Content Recommendations,EdTech researchers,2010s-present,Personalized content selection improves engagement and learning outcomes,MODERATE,14-60% usage increase,"Agrawal et al. (2022) - RCT: 60% content consumption increase, 14% overall usage increase; heavier users benefit more",RECOMMENDED. Implement with caveats—benefits skew toward heavy users with niche preferences.
