Platform,Company,Personalization_Method,Learning_Type_Support,Grade_Coverage,Subject_Coverage,Adaptive_Engine_Type,Interoperability_Standards,Efficacy_Evidence_Level,Content_Authoring,Key_Differentiators
Khan Academy,Khan Academy Inc.,Mastery-based + AI Tutor (Khanmigo),Limited (visual/text modalities),K-12+ College Test Prep,"Math, Science, ELA, Humanities, Test Prep",Rule-based + LLM-assisted,LTI 1.3,Research-backed,Teacher-created + Community,Free; comprehensive content library; AI tutor integration
DreamBox Math,Discovery Education,Continuous adaptive assessment + Optimal Learning Zone,Visual/Interactive manipulatives,K-8,Math,Proprietary adaptive engine (rule-based with ML elements),Clever + Google Classroom + LTI,ESSA Level IV (Moderate),Proprietary only,Real-time formative assessment; manipulatives-based; embedded interventions
DreamBox Reading,Discovery Education,Adaptive placement + skill progression,Text-based with audio support,K-3,Reading/Literacy,Proprietary adaptive engine,Clever + Google Classroom + LTI,ESSA Level IV,Proprietary only,Science of Reading alignment; phonics focus
IXL,IXL Learning,Real-Time Diagnostic + skill recommendations,Multiple modalities (visual/text/audio),K-12,"Math, ELA, Science, Social Studies, Spanish",IRT-based + rule-based recommendation,Clever + Google Classroom + Canvas + LTI,ESSA-aligned research studies,Proprietary only,Comprehensive skill coverage (17K+ skills); detailed analytics; standards alignment
Carnegie Learning MATHia,Carnegie Learning Inc.,Bayesian Knowledge Tracing + Cognitive Tutor,Problem-solving workspace; limited modality adaptation,6-12,Math,Knowledge Tracing (Bayesian) + Production rules,LTI + Clever + major LMS,ESSA Tier 1 (Strong) when blended,Proprietary only,Founded by CMU cognitive scientists; 2x learning growth in RAND study; hint-based feedback
Carnegie Learning ClearMath Elementary,Carnegie Learning Inc.,Adaptive concept development,Visual/manipulative + symbolic,K-5,Math,Proprietary adaptive engine,LTI + Clever,ESSA-aligned (4.9 months additional learning/year),Proprietary only,Conceptual understanding focus; integrated with MATHia
ALEKS,McGraw Hill,Knowledge Space Theory + adaptive assessment,Limited (problem-solving interface),K-12 Higher Ed,"Math, Science, Business",Knowledge Space Theory (set-theoretic),LTI + Blackboard + Canvas + Moodle,Research-backed pie chart approach,Proprietary only,Complete course coverage; pie chart visualization; mastery-based progression
Renaissance Freckle,Renaissance Learning,Adaptive differentiation + standards alignment,Multiple question types, K-12,"Math, ELA, Social Studies, Science",IRT-based adaptive placement, Renaissance ecosystem + Clever + Google,ESSA Level II (Moderate),Teacher + imported content,Differentiation focus; teacher dashboard; integrates with Star assessments
ScootPad,ScootPad Corp.,Adaptive practice + mastery tracking,Game-based interface,K-8,"Math, ELA",Rule-based adaptive with gamification,Clever + Google Classroom + LTI,Growth metrics documented,Teacher-created + licensed,Gamification elements; coin economy; parent portal
Sumdog,Sumdog Ltd.,Adaptive learning games,Game-based visual,K-5,"Math, Spelling, Grammar",Proprietary adaptive algorithm,Clever + Google Classroom,Engagement-focused research,Proprietary only,Competitive games; multiplayer focus; engagement metrics
